"AANSLUITINGEN_AANTAL	POSTCODE	POSTCODE_EIND	POSTCODE_AANTAL	PRODUCTSOORT	TYPE_AANSLUITING_MEEST_VOORKOMEND	TOT_E_INV	SJI GEMIDDELD"
"62	1011TA	1011TB	2	ELK	3x25	1006	16.225806451612904"
"47	1011TC	1011TC	1	ELK	1x35	0	0.0"
"50	1011TD	1011TD	1	ELK	3x25	0	0.0"
"44	1011TE	1011TE	1	ELK	3x25	6539	148.61363636363637"
"26	1011TG	1011TG	1	ELK	3x25	3619	139.19230769230768"
"25	1011TJ	1011TJ	1	ELK	1x25	0	0.0"
"30	1011TK	1011TL	2	ELK	1x35	0	0.0"
"30	1011TM	1011TM	1	ELK	3x25	2126	70.86666666666666"
"24	1011TN	1011TN	1	ELK	3x25	0	0.0"
"14	1011TP	1011TP	1	ELK	1x25	2498	178.42857142857142"
"20	1011TR	1011TR	1	ELK	1x25	0	0.0"
"17	1011TS	1011TS	1	ELK	1x25	0	0.0"
"27	1011TT	1011TT	1	ELK	1x35	0	0.0"
"82	1011TV	1011TV	1	ELK	1x35	635	7.7439024390243905"
"34	1011TW	1011TW	1	ELK	3x25	2801	82.38235294117646"
"37	1011TX	1011TX	1	ELK	1x35	0	0.0"
"85	1011TZ	1011TZ	1	ELK	1x35	12673	149.09411764705882"
"15	1011VA	1011VA	1	ELK	1x25	0	0.0"
"15	1011VB	1011VC	2	ELK	1x25	0	0.0"
"11	1011VD	1011VE	2	ELK	1x25	0	0.0"
"11	1011VG	1011VH	2	ELK	1x25	97	8.818181818181818"
"57	1011VJ	1011VK	2	ELK	3x25	0	0.0"
"45	1011VL	1011VL	1	ELK	1x35	0	0.0"
"35	1011VM	1011VM	1	ELK	1x35	853	24.37142857142857"
"42	1011VP	1011VP	1	ELK	1x25	2085	49.642857142857146"
"11	1011VR	1011VR	1	ELK	1x35	0	0.0"
"22	1011VS	1011VS	1	ELK	1x35	0	0.0"
"42	1011VX	1011WB	3	ELK	1x25	59	1.4047619047619047"
"45	1011WC	1011WC	1	ELK	1x25	0	0.0"
"34	1011WD	1011WD	1	ELK	1x25	0	0.0"
"12	1011XA	1011XA	1	ELK	1x25	0	0.0"
"73	1012AA	1012AB	2	ELK	1x10	0	0.0"
"14	1012AC	1012AC	1	ELK	3x63	0	0.0"
"46	1012AD	1012AE	2	ELK	1x35	0	0.0"
"10	1012AG	1012AG	1	ELK	1x35	0	0.0"
"14	1012AH	1012AH	1	ELK	1x35	0	0.0"
"28	1012AJ	1012AK	2	ELK	1x25	0	0.0"
"52	1012AL	1012AL	1	ELK	1x25	326	6.269230769230769"
"15	1012AN	1012AP	2	ELK	1x25	0	0.0"
"35	1012AR	1012AR	1	ELK	1x25	0	0.0"
"36	1012AS	1012AS	1	ELK	1x25	0	0.0"
"19	1012AT	1012AT	1	ELK	1x25	0	0.0"
"26	1012AV	1012AV	1	ELK	1x25	0	0.0"
"20	1012AW	1012AW	1	ELK	1x25	0	0.0"
"14	1012AX	1012AX	1	ELK	1x25	0	0.0"
"64	1012AZ	1012AZ	1	ELK	1x35	0	0.0"
"72	1012BA	1012BA	1	ELK	1x25	0	0.0"
"36	1012BB	1012BB	1	ELK	3x25	1998	55.5"
"28	1012BC	1012BC	1	ELK	1x25	0	0.0"
"15	1012BD	1012BD	1	ELK	1x35	0	0.0"
"10	1012BE	1012BE	1	ELK	1x25	0	0.0"
"29	1012BG	1012BG	1	ELK	1x35	0	0.0"
"23	1012BH	1012BH	1	ELK	1x25	0	0.0"
"31	1012BJ	1012BJ	1	ELK	1x25	0	0.0"
"16	1012BK	1012BK	1	ELK	1x35	2306	144.125"
"18	1012BL	1012BL	1	ELK	1x35	0	0.0"
"41	1012BM	1012BM	1	ELK	3x25	1206	29.414634146341463"
"27	1012BN	1012BN	1	ELK	1x25	1008	37.333333333333336"
"35	1012BP	1012BP	1	ELK	1x35	0	0.0"
"53	1012BR	1012BS	2	ELK	1x35	0	0.0"
"17	1012BT	1012BT	1	ELK	1x35	0	0.0"
"47	1012BV	1012BV	1	ELK	1x35	0	0.0"
"43	1012BW	1012BW	1	ELK	1x25	0	0.0"
"32	1012BX	1012BX	1	ELK	1x25	0	0.0"
"34	1012BZ	1012BZ	1	ELK	1x25	0	0.0"
"14	1012CA	1012CA	1	ELK	1x25	1275	91.07142857142857"
"43	1012CB	1012CB	1	ELK	1x25	1074	24.976744186046513"
"47	1012CC	1012CD	2	ELK	3x25	1245	26.48936170212766"
"25	1012CE	1012CE	1	ELK	3x25	0	0.0"
"34	1012CH	1012CJ	2	ELK	1x25	0	0.0"
"18	1012CK	1012CK	1	ELK	3x25	0	0.0"
"12	1012CL	1012CL	1	ELK	3x25	0	0.0"
"19	1012CM	1012CN	2	ELK	1x25	0	0.0"
"34	1012CP	1012CR	2	ELK	1x25	0	0.0"
"16	1012CS	1012CS	1	ELK	3x63	0	0.0"
"23	1012CT	1012CT	1	ELK	1x35	0	0.0"
"11	1012CV	1012CV	1	ELK	1x35	0	0.0"
"35	1012CW	1012CW	1	ELK	3x25	0	0.0"
"19	1012CX	1012CX	1	ELK	3x25	1213	63.8421052631579"
"36	1012CZ	1012CZ	1	ELK	1x25	51	1.4166666666666667"
"38	1012DA	1012DA	1	ELK	3x25	0	0.0"
"28	1012DB	1012DB	1	ELK	3x25	0	0.0"
"27	1012DC	1012DC	1	ELK	3x25	0	0.0"
"20	1012DD	1012DD	1	ELK	3x25	454	22.7"
"21	1012DE	1012DE	1	ELK	3x25	2050	97.61904761904762"
"39	1012DG	1012DG	1	ELK	3x25	0	0.0"
"11	1012DH	1012DH	1	ELK	3x25	0	0.0"
"19	1012DJ	1012DJ	1	ELK	1x25	0	0.0"
"15	1012DK	1012DK	1	ELK	1x35	0	0.0"
"13	1012DL	1012DL	1	ELK	1x25	2200	169.23076923076923"
"29	1012DM	1012DM	1	ELK	1x35	0	0.0"
"15	1012DN	1012DN	1	ELK	1x35	0	0.0"
"39	1012DP	1012DP	1	ELK	3x25	0	0.0"
"30	1012DR	1012DR	1	ELK	3x25	0	0.0"
"31	1012DS	1012DS	1	ELK	1x25	0	0.0"
"18	1012DT	1012DT	1	ELK	3x25	6512	361.77777777777777"
"40	1012DV	1012DV	1	ELK	3x25	1685	42.125"
"17	1012DW	1012DW	1	ELK	1x25	0	0.0"
"20	1012DX	1012DX	1	ELK	3x25	866	43.3"
"19	1012DZ	1012EA	2	ELK	1x35	0	0.0"
"15	1012EB	1012EB	1	ELK	1x25	0	0.0"
"17	1012EC	1012EC	1	ELK	3x25	27	1.588235294117647"
"26	1012ED	1012ED	1	ELK	3x25	0	0.0"
"19	1012EE	1012EG	2	ELK	1x25	0	0.0"
"37	1012EH	1012EH	1	ELK	3x25	0	0.0"
"29	1012EJ	1012EJ	1	ELK	1x25	0	0.0"
"19	1012EK	1012EK	1	ELK	3x25	0	0.0"
