rank,PC4,municipality,demand_dso_kwh,connections,demand_dso_gwh,li_feedin_kwh,li_feedin_gwh,st_feedin_kwh,st_feedin_gwh,solar_park_gwh,wind_gwh,biz_kwh,biz_gwh,total_feedin_gwh,total_supply_gwh,demand_total_gwh,net_balance_gwh,supply_ratio_pct,business_park,balance_class,slope_kwh_yr,growth_rate_pct_yr,significant,deficit_abs,demand_per_conn,has_biz_park,industrial_proxy_gwh,demand_synthetic_gwh,congestion_status,congestion_score,net_balance_p3_gwh,composite_siting,composite_siting_v1_proxy_excl
51,3781,Barneveld,24532811.0,5500.0,24.532811,7376552.0,7.376552,0.0,0.0,0.0,0.0,1244700.0,1.2447,7.376552,7.376552,25.777511,-18.400959,28.616230636076544,,high_deficit,-1495159.5,-6.09,False,18.400959,0.0046868201818181,0.0,0.0,25.777511,AMBER,0.5,-18.400959,0.2866,0.5586
52,3776,Barneveld,5125461.0,782.0,5.125461,1498074.0,1.498074,0.0,0.0,0.0,0.0,474570.0,0.47457,1.498074,1.498074,5.600031,-4.101957,26.751173341719003,,high_deficit,-169433.1,-3.31,False,4.101957,0.0071611649616368,0.0,0.0,5.600031,AMBER,0.5,-4.101957,0.2581,0.3184
53,3784,Barneveld,4305706.0,619.0,4.305706,1386471.0,1.386471,24374.0,0.024374,0.0,0.0,225630.0,0.22563,1.410845,1.410845,4.531336,-3.1204909999999995,31.135298728675163,,high_deficit,0.0,0.0,,3.1204909999999995,0.0073204135702746,0.0,0.0,4.531336,AMBER,0.5,-3.1204909999999995,0.2561,0.3019
54,3785,Barneveld,3535210.0,645.0,3.53521,1260787.0,1.260787,0.0,0.0,0.0,0.0,65140.0,0.06514,1.260787,1.260787,3.60035,-2.339563,35.0184565389476,,high_deficit,-320425.9,-9.06,False,2.339563,0.0055819379844961,0.0,0.0,3.60035,AMBER,0.5,-2.339563,0.2546,0.2887
55,3794,Barneveld,1723026.0,224.0,1.723026,553354.0,0.553354,0.0,0.0,0.0,0.0,79540.0,0.07954,0.553354,0.553354,1.802566,-1.249212,30.698127003394056,,high_deficit,-140076.6,-8.13,False,1.249212,0.0080471696428571,0.0,0.0,1.802566,AMBER,0.5,-1.249212,0.2524,0.2704
56,3775,Barneveld,1111869.0,156.0,1.111869,390609.0,0.390609,0.0,0.0,0.0,0.0,33700.0,0.0337,0.390609,0.390609,1.145569,-0.7549600000000001,34.09737868255862,,high_deficit,-100997.9,-9.08,False,0.7549600000000001,0.007343391025641,0.0,0.0,1.145569,AMBER,0.5,-0.7549600000000001,0.2514,0.2621
57,3792,Barneveld,530205.0,90.0,0.530205,219406.0,0.219406,0.0,0.0,0.0,0.0,4480.0,0.00448,0.219406,0.219406,0.5346850000000001,-0.3152790000000001,41.034627865004616,,high_deficit,-36388.7,-6.86,False,0.3152790000000001,0.0059409444444444,0.0,0.0,0.5346850000000001,AMBER,0.5,-0.3152790000000001,0.2506,0.2547
58,3861,Nijkerk,25861847.0,5064.0,25.861847,6223054.0,6.223054,0.0,0.0,0.6853,0.0,4445870.0,4.44587,6.223054,6.908354,30.307717,-23.399363,22.79404285053869,A12 Business Zone Ede,severe_deficit,-1805526.9,-6.98,False,23.399363,0.0059849362164297,1.0,36.15,62.011847,GREEN,0.2,-55.103493,0.2096,0.4926
59,3882,Rhenen,27917583.0,5859.0,27.917583,9285916.0,9.285916,0.0,0.0,0.0,0.0,1719230.0,1.71923,9.285916,9.285916,29.636813,-20.350897,31.33237031930525,Remmerden Rhenen,high_deficit,-2025938.0,-7.26,True,20.350897,0.0050583398190817,1.0,23.015999999999995,50.933583,GREEN,0.2,-41.647667,0.1829,0.4413
60,3851,Wageningen,24394400.0,5898.0,24.3944,5217444.0,5.217444,0.0,0.0,0.0,0.0,2574720.0,2.57472,5.217444,5.217444,26.96912,-21.751676,19.34599275022693,Nudepark Wageningen,severe_deficit,-1646185.9,-6.75,False,21.751676,0.0045725873177348,1.0,14.715,39.1094,GREEN,0.2,-33.891956,0.1674,0.4649
